Date,Open,High,Low,Close,Volume,AdjustedClose
20190314,3780,3870,3780,3870,138244200,3775.567
20190315,3900,3980,3890,3980,201313000,3882.883
20190318,3990,4040,3980,4040,117760600,3941.419
20190319,4040,4050,3970,3990,95786500,3892.639
20190320,3960,4010,3960,3980,121302800,3882.883
20190321,4010,4040,3970,3980,142109200,3882.883
20190322,4030,4070,4000,4060,122823900,3960.931
20190325,4030,4040,3990,4000,120025700,3902.395
20190326,4050,4080,4010,4060,102500700,3960.931
20190327,4080,4080,4040,4040,85568800,3941.419
20190328,4070,4100,4030,4100,85272700,3999.955
20190329,4050,4140,4050,4120,131160100,4019.466
20190401,4140,4160,4130,4140,83846100,4038.979
20190402,4170,4170,4130,4150,63949000,4048.735
20190404,4180,4280,4140,4220,81609600,4117.026
20190405,4260,4290,4250,4260,68749900,4156.05
20190408,4290,4290,4210,4290,99677300,4185.318
20190409,4280,4350,4260,4310,105727100,4204.83
20190410,4300,4320,4260,4320,130700500,4214.586
20190411,4300,4320,4280,4300,198401800,4195.074
20190412,4300,4320,4280,4310,120459200,4204.83
20190415,4350,4360,4310,4350,64160400,4243.854
20190416,4330,4360,4320,4340,90837700,4234.098
20190418,4450,4730,4380,4460,182035000,4351.17
20190422,4460,4460,4410,4440,101963500,4331.658
20190423,4410,4450,4410,4430,54840800,4321.902
20190424,4410,4430,4400,4400,172810100,4292.634
20190425,4380,4390,4260,4330,184463200,4224.342
20190426,4240,4360,4210,4330,132874000,4224.342
20190429,4290,4350,4280,4340,76916700,4234.098
20190430,4390,4410,4340,4370,127804000,4263.366
20190502,4420,4420,4340,4370,126901700,4263.366
20190503,4330,4400,4310,4380,109485100,4273.122
20190506,4300,4300,4190,4230,143009800,4126.782
20190507,4210,4280,4210,4250,112789100,4146.294
20190508,4250,4250,4180,4220,120152500,4117.026
20190509,4140,4160,4120,4120,163340000,4019.466
20190510,4100,4160,4090,4120,120282900,4019.466
20190513,4130,4140,4100,4100,71877200,3999.955
20190514,4000,4090,3970,4050,115090400,3951.175
20190515,4050,4060,3890,3890,167394600,3795.079
20190516,3940,3990,3820,3860,144094800,3765.811
20190517,3910,3910,3770,3790,155199000,3697.519
20190520,3800,3850,3660,3750,165275800,3658.495
20190521,3800,3840,3710,3750,206532500,3658.495
20190522,3710,3830,3710,3770,118633800,3678.007
20190523,3820,3890,3800,3850,209226900,3756.055
20190524,3780,3930,3770,3850,150398400,3756.055
20190527,3900,3970,3860,3920,123578400,3824.347
20190528,3930,3950,3810,3810,376621800,3717.031
20190529,3890,3950,3860,3940,139713200,3843.859
20190531,3990,4120,3980,4100,261104200,3999.955
20190610,4220,4270,4200,4230,196745300,4126.782
20190611,4250,4250,4150,4230,116270900,4126.782
20190612,4170,4210,4170,4210,92904100,4107.27
20190613,4250,4250,4180,4200,116825700,4097.514
20190614,4170,4240,4170,4230,72298800,4126.782
20190617,4250,4250,4200,4200,55193600,4097.514
20190618,4180,4260,4180,4260,158342200,4156.05
20190619,4320,4340,4280,4290,167220600,4185.318
20190620,4330,4330,4280,4310,107715700,4204.83
20190621,4290,4360,4260,4360,170191100,4253.61
20190624,4310,4350,4290,4310,82569600,4204.83
20190625,4350,4350,4290,4330,59456000,4224.342
20190626,4330,4370,4320,4360,102850200,4253.61
20190627,4380,4390,4350,4380,81746600,4273.122
20190628,4370,4400,4350,4360,102580700,4253.61
20190701,4400,4420,4380,4420,104844900,4312.146
20190702,4420,4420,4360,4410,134440200,4302.39
20190703,4390,4420,4360,4400,74371900,4292.634
20190704,4360,4400,4360,4390,38687900,4282.878
20190705,4420,4420,4380,4400,53771200,4292.634
20190708,4380,4410,4370,4400,46233200,4292.634
20190709,4370,4410,4370,4410,64718300,4302.39
20190710,4410,4480,4400,4470,80977700,4360.926
20190711,4490,4540,4480,4510,91416500,4399.95
20190712,4510,4540,4490,4510,64575400,4399.95
20190715,4540,4560,4520,4530,68954800,4419.462
20190716,4500,4550,4500,4550,84477400,4438.974
20190717,4520,4550,4500,4520,65303400,4409.706
20190718,4500,4510,4440,4450,77028200,4341.414
20190719,4450,4490,4440,4480,64335100,4370.682
20190722,4500,4510,4460,4500,41944400,4390.194
20190723,4500,4500,4470,4490,43317300,4380.438
20190724,4520,4520,4440,4450,53053100,4341.414
20190725,4470,4480,4450,4460,60404000,4351.17
20190726,4410,4470,4400,4440,77381500,4331.658
20190729,4480,4480,4440,4460,91877000,4351.17
20190730,4500,4500,4460,4500,68755800,4390.194
20190731,4500,4510,4450,4480,105834600,4370.682
20190801,4490,4510,4410,4450,143626600,4341.414
20190802,4400,4470,4390,4450,119342500,4341.414
20190805,4410,4420,4270,4270,150837200,4165.806
20190806,4100,4210,4020,4100,247636800,3999.955
20190807,4140,4290,4140,4250,146976400,4146.294
20190808,4250,4320,4250,4290,93336500,4185.318
20190809,4330,4350,4300,4330,82471300,4224.342
20190812,4380,4380,4290,4300,51057200,4195.074
20190813,4330,4330,4250,4280,80133600,4175.562
20190814,4330,4350,4310,4330,93273200,4224.342
20190815,4210,4280,4180,4250,115233200,4146.294
20190816,4250,4260,4200,4210,93606900,4107.27
20190819,4130,4220,4130,4180,60369000,4078.003
20190820,4180,4200,4090,4100,102619200,3999.955
20190821,4100,4170,4040,4050,84386400,3951.175
20190822,4060,4140,4000,4070,124079400,3970.687
20190823,4030,4100,4020,4080,58236900,3980.443
20190826,4020,4070,4000,4070,64788000,3970.687
20190827,4130,4210,4080,4200,178201800,4097.514
